,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
7565,9807327,24891140,Entire home/apt,,Estrela,0,,4,2.0,1.0,68.0,1.0,38.711978,-9.170089,2016-06-02 15:37:07.816630
7566,9807824,35266339,Entire home/apt,,Campo de Ourique,0,,4,2.0,1.0,46.0,1.0,38.720296,-9.165898,2016-06-02 11:13:53.880339
7567,9815347,50562055,Entire home/apt,,Bel�m,3,4.5,6,2.0,1.0,57.0,2.0,38.697392,-9.194443,2016-06-02 12:21:59.751048
7568,9816223,41689801,Entire home/apt,,Miseric�rdia,7,5.0,10,6.0,3.0,345.0,2.0,38.709027,-9.147062,2016-06-02 17:29:11.911044
7569,9817825,29472278,Entire home/apt,,Parque das Na��es,9,4.5,7,3.0,2.0,80.0,3.0,38.778402,-9.094589,2016-06-02 17:37:41.143897
7570,9821671,47906766,Entire home/apt,,Alvalade,1,,3,1.0,1.0,52.0,1.0,38.748924,-9.151379,2016-06-02 16:38:58.638151
7571,9822541,50593581,Entire home/apt,,Areeiro,10,4.5,5,2.0,1.0,58.0,2.0,38.743868,-9.138097,2016-06-02 10:18:41.012490
7572,9822619,2476571,Entire home/apt,,S�o Vicente,8,5.0,7,1.0,1.0,37.0,2.0,38.715622,-9.128409,2016-06-02 13:06:36.721455
7573,9823843,20380623,Entire home/apt,,Santa Maria Maior,7,4.5,4,2.0,,57.0,1.0,38.70855,-9.136868,2016-06-02 13:27:41.730199
7574,9827522,4043364,Entire home/apt,,Miseric�rdia,33,5.0,3,1.0,1.0,60.0,2.0,38.711473,-9.146965,2016-06-02 15:54:07.527487
7575,9830445,5274559,Entire home/apt,,S�o Vicente,17,4.5,3,1.0,1.0,45.0,3.0,38.713757,-9.129263,2016-06-02 14:20:40.596911
7576,9830753,15954754,Private room,,Bel�m,0,,2,1.0,1.0,40.0,2.0,38.706378,-9.208936,2016-06-02 13:48:00.660049
7577,9832201,25191280,Private room,,Benfica,0,,2,1.0,2.0,64.0,1.0,38.752476,-9.202434,2016-06-02 15:39:30.458564
7578,9832358,8911887,Entire home/apt,,Bel�m,1,,6,2.0,1.0,78.0,,38.697976,-9.202785,2016-06-02 15:41:11.711785
7579,9832399,25191280,Private room,,Benfica,0,,2,1.0,2.0,64.0,1.0,38.751994,-9.201215,2016-06-02 11:40:10.815969
7580,9834571,46944960,Entire home/apt,,Santo Ant�nio,1,,4,1.0,1.0,84.0,1.0,38.716974,-9.143237,2016-06-02 10:53:09.953562
