,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
167,9595997,23681350,Entire home/apt,,,24,5.0,3,1.0,1.0,180.0,,34.132025,-116.283178,2016-05-27 02:19:27.847643
168,9613401,17872893,Entire home/apt,,,9,5.0,12,4.0,2.0,350.0,,34.183773,-116.313381,2016-05-27 02:20:20.395776
169,9661672,11233710,Entire home/apt,,,16,5.0,6,2.0,2.0,185.0,1.0,34.123905,-116.311224,2016-05-27 02:11:04.148454
170,9696060,14651807,Entire home/apt,,,29,5.0,2,1.0,1.0,150.0,2.0,34.097594,-116.307108,2016-05-27 02:19:22.567728
171,9748041,11608148,Private room,,,10,5.0,2,1.0,1.0,50.0,1.0,34.144585,-116.312231,2016-05-27 02:22:41.253527
172,9810645,32083992,Private room,,,7,5.0,2,1.0,1.0,55.0,1.0,34.12875,-116.318816,2016-05-27 02:17:43.185959
173,9904854,50933286,Entire home/apt,,,4,5.0,6,2.0,2.0,300.0,,34.106892,-116.282915,2016-05-27 02:13:30.856815
174,9979259,9319506,Entire home/apt,,,23,5.0,6,2.0,,185.0,2.0,34.108971,-116.346263,2016-05-27 02:18:40.617770
175,9986505,51311480,Entire home/apt,,,2,,10,3.0,2.0,187.0,2.0,34.100871,-116.287679,2016-05-27 02:15:12.657710
176,10072597,42795226,Entire home/apt,,,6,5.0,4,2.0,1.0,180.0,2.0,34.126486,-116.271812,2016-05-27 02:21:00.898153
177,10152450,43128897,Entire home/apt,,,16,5.0,3,1.0,,150.0,1.0,34.121985,-116.272434,2016-05-27 02:20:12.203405
178,10204420,7310060,Entire home/apt,,,22,5.0,12,3.0,2.0,300.0,,34.231449,-116.282136,2016-05-27 02:20:29.863917
179,10211454,52455603,Shared room,,,0,,3,1.0,0.0,19.0,2.0,34.196006,-115.860265,2016-05-27 02:25:00.946373
180,10251503,52697011,Shared room,,,3,5.0,2,1.0,1.0,99.0,1.0,34.070876,-116.539501,2016-05-27 02:20:54.676788
181,10363982,9247444,Entire home/apt,,,2,,12,3.0,2.0,165.0,1.0,34.178025,-116.293013,2016-05-27 02:24:17.356180
182,10645229,24953463,Entire home/apt,,,1,,16,8.0,6.0,600.0,2.0,34.119867,-116.319172,2016-05-27 02:14:22.163867
183,10725060,55429773,Entire home/apt,,,1,,14,4.0,,425.0,2.0,33.953736,-116.468383,2016-05-27 02:23:31.637531
184,10744620,50072,Entire home/apt,,,4,5.0,6,2.0,2.0,450.0,2.0,34.099678,-116.314573,2016-05-27 02:17:03.769605
185,10783985,26819810,Entire home/apt,,,2,,4,2.0,,85.0,2.0,34.131139,-116.319149,2016-05-27 02:21:42.463695
186,10790676,29579661,Private room,,,39,5.0,4,1.0,,59.0,1.0,34.109654,-116.360353,2016-05-27 02:14:19.184087
187,10855241,15968800,Entire home/apt,,,9,5.0,5,2.0,2.0,185.0,2.0,34.119347,-116.338272,2016-05-27 02:16:58.503918
188,10900124,56488314,Entire home/apt,,,14,5.0,5,2.0,2.0,99.0,1.0,34.128813,-116.324539,2016-05-27 02:20:23.305700
189,11228336,58521912,Shared room,,,0,,1,1.0,1.0,34.0,1.0,33.965303,-116.514685,2016-05-27 02:22:11.969716
190,11304130,59087218,Entire home/apt,,,8,5.0,6,2.0,1.0,115.0,2.0,34.141236,-116.316526,2016-05-27 02:19:56.288799
191,11339526,1717964,Entire home/apt,,,0,,6,3.0,2.0,600.0,1.0,34.13474,-116.368383,2016-05-27 02:19:59.046341
192,11375186,5820467,Private room,,,5,4.0,1,1.0,1.0,55.0,1.0,34.124624,-116.317641,2016-05-27 02:16:43.899985
193,11375871,5820467,Private room,,,3,5.0,2,1.0,1.0,62.0,1.0,34.125918,-116.31642,2016-05-27 02:16:01.694965
