id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16286279,Habitacion doble,25907408,Bande,Ciutat Vella,el Raval,41.38030219714412,2.163688405805625,Private room,37,1,0,,,1,365
12038088,Double room w/b in the heart of BCN near ramblas!,64419291,Alex,Ciutat Vella,el Raval,41.379645450328404,2.1702454746034947,Private room,35,2,35,2016-12-06,4.15,3,82
13359409,Virreina from Raval,2481770,Beatriz,Ciutat Vella,el Raval,41.3822198768391,2.1716500980220794,Private room,53,2,17,2016-11-27,3.23,1,69
6840114,Mi Habitacion,5157936,Ricardo Rubén,Ciutat Vella,el Raval,41.38471697099258,2.1650078374672157,Private room,35,1,0,,,4,5
586548,"HOME WITH HEART, Wood, Sun and Sea!",2891713,Mónica,Ciutat Vella,el Raval,41.378014555490736,2.1689953834365796,Private room,40,3,91,2016-11-28,1.73,1,268
11650503,Habitacion mediana con cama grande,31174143,David,Ciutat Vella,el Raval,41.376211549750515,2.1712194570783323,Private room,20,1,16,2016-11-01,1.86,2,362
14470889,Central&Cozy Double Bedroom + Free Breakfast(4),655279,John&Feran,Ciutat Vella,el Raval,41.38396631772777,2.1650145560707115,Private room,29,1,24,2016-12-02,7.13,5,226
13955494,Double Room Just Off Las Ramblas,83105813,Charlie,Ciutat Vella,el Raval,41.378548423421044,2.1736932775284377,Private room,45,1,22,2016-11-30,4.78,1,340
13232529,Habitación doble exterior con balcon,47307159,Sol Carolina,Ciutat Vella,el Raval,41.381876711248054,2.165574470934837,Private room,35,5,10,2016-08-30,1.61,3,248
10541043,LOVELY DOUBLE ROOM IN BCN CITY PORT,24282359,Daniel,Ciutat Vella,el Raval,41.37585720024097,2.1748889140526533,Private room,50,1,4,2016-10-07,0.58,6,365
2467281,Cozy studio / Acogedor estudio,11132833,Diana,Ciutat Vella,el Raval,41.37511867173618,2.171963233849892,Private room,60,3,13,2016-09-26,1.78,1,88
3498972,"Cozy room, 32m,  Arc de Triomf",17617924,Ale,Ciutat Vella,el Raval,41.37735985232131,2.1729574470774518,Private room,35,1,2,2014-07-29,0.07,1,0
279439,sociable apartment in Raval 3,1457147,Piero,Ciutat Vella,el Raval,41.378894432759324,2.1731405067952285,Private room,30,2,63,2016-10-04,1.08,3,325
14894775,Huge & Bright bedroom. Shared flat (Pl. Catalunya),9754662,Kev,Ciutat Vella,el Raval,41.38387175879844,2.169635121303107,Private room,40,2,11,2016-11-29,3.84,1,161
11406423,Beautiful and bright room,57992918,Marialejandra,Ciutat Vella,el Raval,41.38251096879824,2.165859587964388,Private room,25,3,31,2016-11-22,3.43,1,52
6605458,Room in center of BCN. El Raval.,34087272,Rama,Ciutat Vella,el Raval,41.379544673616174,2.164284721944332,Private room,29,1,43,2016-11-06,2.45,5,331
11909819,Habitacion doble con desayuno,63498776,Giovanna,Ciutat Vella,el Raval,41.37934272995635,2.167830382879705,Private room,20,1,26,2016-10-17,3.05,1,365
16198902,Comfty room located in the center of BCN,7308577,Silvana & Juana,Ciutat Vella,el Raval,41.37610868264975,2.1690924690937963,Private room,30,1,0,,,2,13
12769961,One Room in center of BCN. El Raval,34087272,Rama,Ciutat Vella,el Raval,41.37874763025746,2.1649219552065793,Private room,50,1,3,2016-11-28,0.51,5,336
14464056,HUGE SUITE IN THE HEART OF BARCELONA,15754656,Carlota,Ciutat Vella,el Raval,41.382058017796645,2.1646947191978962,Private room,33,1,11,2016-10-30,3.08,1,5
9116045,大きく綺麗な快適ハウス。Big comfortable house,47499138,Hiroko,Ciutat Vella,el Raval,41.37832311427674,2.166533090481325,Private room,29,2,49,2016-11-21,3.82,4,65
4679154,"spacious, furnished room double bed",24198311,Folkert,Ciutat Vella,el Raval,41.38389782365513,2.1678545645375076,Private room,50,1,0,,,1,89
7064358,Double room with terrace,1711997,NordinS,Ciutat Vella,el Raval,41.37788184389038,2.16531238211896,Private room,60,2,0,,,2,0
15742658,Lovely double room near Ramblas.,101342929,Diego,Ciutat Vella,el Raval,41.383841177187406,2.1699942887827435,Private room,17,2,1,2016-11-21,1,2,357
13472627,Centric and enjoyable house in Barcelona,42481261,Federico,Ciutat Vella,el Raval,41.37539047353415,2.1698118574213914,Private room,30,2,1,2016-07-05,0.19,1,0
3322110,Air conditioned room,16773140,Alexis,Ciutat Vella,el Raval,41.37839764152253,2.166069379345075,Private room,25,2,84,2016-12-07,3.65,2,78
512368,SUNNY ROOM,1687383,Juanmi,Ciutat Vella,el Raval,41.375637185136604,2.1700122482899613,Private room,19,14,23,2016-12-08,0.46,2,351
