neighbourhood_group,neighbourhood
,Acton
,Adams-Normandie
,Agoura Hills
,Agua Dulce
,Alhambra
,Alondra Park
,Altadena
,Angeles Crest
,Arcadia
,Arleta
,Arlington Heights
,Artesia
,Athens
,Atwater Village
,Avalon
,Avocado Heights
,Azusa
,Baldwin Hills/Crenshaw
,Baldwin Park
,Bel-Air
,Bell
,Bell Gardens
,Bellflower
,Beverly Crest
,Beverly Grove
,Beverly Hills
,Beverlywood
,Boyle Heights
,Bradbury
,Brentwood
,Broadway-Manchester
,Burbank
,Calabasas
,Canoga Park
,Carson
,Carthay
,Castaic
,Castaic Canyons
,Central-Alameda
,Century City
,Cerritos
,Charter Oak
,Chatsworth
,Chatsworth Reservoir
,Chesterfield Square
,Cheviot Hills
,Chinatown
,Citrus
,Claremont
,Commerce
,Compton
,Covina
,Cudahy
,Culver City
,Cypress Park
,Del Aire
,Del Rey
,Desert View Highlands
,Diamond Bar
,Downey
,Downtown
,Duarte
,Eagle Rock
,East Compton
,East Hollywood
,East La Mirada
,East Los Angeles
,East Pasadena
,East San Gabriel
,Echo Park
,El Monte
,El Segundo
,El Sereno
,Elizabeth Lake
,Elysian Park
,Elysian Valley
,Encino
,Exposition Park
,Fairfax
,Florence
,Florence-Firestone
,Gardena
,Glassell Park
,Glendale
,Glendora
,Gramercy Park
,Granada Hills
,Green Meadows
,Green Valley
,Griffith Park
,Hacienda Heights
,Hancock Park
,Hansen Dam
,Harbor City
,Harbor Gateway
,Harvard Heights
,Harvard Park
,Hasley Canyon
,Hawaiian Gardens
,Hawthorne
,Hermosa Beach
,Hidden Hills
,Highland Park
,Historic South-Central
,Hollywood
,Hollywood Hills
,Hollywood Hills West
,Huntington Park
,Hyde Park
,Industry
,Inglewood
,Irwindale
,Jefferson Park
,Koreatown
,La Cañada Flintridge
,La Crescenta-Montrose
,La Habra Heights
,La Mirada
,La Puente
,La Verne
,Ladera Heights
,Lake Balboa
,Lake Hughes
,Lake Los Angeles
,Lake View Terrace
,Lakewood
,Lancaster
,Larchmont
,Lawndale
,Leimert Park
,Lennox
,Leona Valley
,Lincoln Heights
,Littlerock
,Lomita
,Long Beach
,Lopez/Kagel Canyons
,Los Feliz
,Lynwood
,Malibu
,Manchester Square
,Manhattan Beach
,Mar Vista
,Marina del Rey
,Mayflower Village
,Maywood
,Mid-City
,Mid-Wilshire
,Mission Hills
,Monrovia
,Montebello
,Montecito Heights
,Monterey Park
,Mount Washington
,North El Monte
,North Hills
,North Hollywood
,North Whittier
,Northeast Antelope Valley
,Northridge
,Northwest Antelope Valley
,Northwest Palmdale
,Norwalk
,Pacific Palisades
,Pacoima
,Palmdale
,Palms
,Palos Verdes Estates
,Panorama City
,Paramount
,Pasadena
,Pico Rivera
,Pico-Robertson
,Pico-Union
,Playa Vista
,Playa del Rey
,Pomona
,Porter Ranch
,Quartz Hill
,Ramona
,Rancho Dominguez
,Rancho Palos Verdes
,Rancho Park
,Redondo Beach
,Reseda
,Ridge Route
,Rolling Hills
,Rolling Hills Estates
,Rosemead
,Rowland Heights
,San Dimas
,San Fernando
,San Gabriel
,San Marino
,San Pasqual
,San Pedro
,Santa Clarita
,Santa Fe Springs
,Santa Monica
,Sawtelle
,Sepulveda Basin
,Shadow Hills
,Sherman Oaks
,Sierra Madre
,Signal Hill
,Silver Lake
,South Diamond Bar
,South El Monte
,South Gate
,South Park
,South Pasadena
,South San Gabriel
,South San Jose Hills
,South Whittier
,Southeast Antelope Valley
,Stevenson Ranch
,Studio City
,Sun Valley
,Sun Village
,Sunland
,Sylmar
,Tarzana
,Temple City
,Toluca Lake
,Topanga
,Torrance
,Tujunga
,Tujunga Canyons
,Unincorporated Catalina Island
,Unincorporated Santa Monica Mountains
,Unincorporated Santa Susana Mountains
,Universal City
,University Park
,Val Verde
,Valinda
,Valley Glen
,Valley Village
,Van Nuys
,Venice
,Vermont Knolls
,Vermont Square
,Vermont Vista
,Vermont-Slauson
,Vernon
,Veterans Administration
,View Park-Windsor Hills
,Vincent
,Walnut
,Walnut Park
,Watts
,West Adams
,West Carson
,West Compton
,West Covina
,West Hills
,West Hollywood
,West Los Angeles
,West Puente Valley
,West San Dimas
,West Whittier-Los Nietos
,Westchester
,Westlake
,Westlake Village
,Westmont
,Westwood
,Whittier
,Whittier Narrows
,Willowbrook
,Wilmington
,Windsor Square
,Winnetka
,Woodland Hills
